연번,자치구,ID,정류소명,주소,행정동명,위도,경도
1217,북구,4365,용봉중(오치주공),광주광역시 북구 오치동 961-15,북구 오치동,35.1873052291148,126.909319282783
1218,북구,4366,자연과학고(문흥1동주민센터),광주광역시 북구 오치동 1053,북구 오치동,35.186886533385,126.914885833708
1219,북구,4367,자연과학고(용봉중),광주광역시 북구 오치동 1053,북구 오치동,35.186886533385,126.914885833708
1220,북구,4368,북부경찰서(오치주공),광주광역시 북구 오치동 872-37,북구 오치동,35.1870711317475,126.900023864968
1221,북구,4369,북부경찰서(중외마을),광주광역시 북구 오치동 861-24,북구 오치동,35.1873469981525,126.899868278371
1222,북구,4370,서산초교(오치한전),광주광역시 북구 오치동 999,북구 오치동,35.188377149561,126.903864005867
1223,북구,4371,서산초교(오치1동주민센터),광주광역시 북구 오치동 999,북구 오치동,35.188377149561,126.903864005867
1224,북구,4372,오치1동행정복지센터(서산초교),광주광역시 북구 오치동 916-4,북구 오치동,35.1913406775742,126.904730565388
1225,북구,4373,오치주공(북부경찰서),광주광역시 북구 오치동 999,북구 오치동,35.188377149561,126.903864005867
1226,북구,4374,오치주공(용봉중),광주광역시 북구 오치동 999,북구 오치동,35.188377149561,126.903864005867
1227,북구,4375,오치초교(광주공고입구),광주광역시 북구 오치동 853-2,북구 오치동,35.1859959611802,126.89846602305
1228,북구,4376,오치초교(용주초교),광주광역시 북구 용봉동 1114-33,북구 용봉동,35.1856903686319,126.898426548742
1229,북구,4377,오치한전(도로교통공단 대신파크),광주광역시 북구 오치동 865-17,북구 오치동,35.1850002125151,126.905454790038
1230,북구,4378,오치한전(북)(도로교통공단 대신파크),광주광역시 북구 오치동 999,북구 오치동,35.188377149561,126.903864005867
1231,북구,4379,도로교통공단 대신파크(용봉한화꿈에그린),광주광역시 북구 용봉동 1259,북구 용봉동,35.1823213367603,126.909162882668
1232,북구,4380,도로교통공단 대신파크(전남대후문위),광주광역시 북구 용봉동 1197-1,북구 용봉동,35.1818779114852,126.908738940837
1233,북구,4381,비엔날레전시관(비엔날레전시관),광주광역시 북구 용봉동 852-9,북구 용봉동,35.1825823447215,126.891096056222
1234,북구,4382,비엔날레전시관입구(용봉현대1차아파트),광주광역시 북구 용봉동 1047-12,북구 용봉동,35.1803844869012,126.890008058093
1235,북구,4383,비엔날레전시관입구(비엔날레전시관),광주광역시 북구 용봉동 1035-5,북구 용봉동,35.1812169622755,126.890088617179
1236,북구,4384,삼원맨션(용봉한화꿈에그린),광주광역시 북구 용봉동 1263,북구 용봉동,35.1789984160713,126.901351143708
1237,북구,4385,삼원맨션(용봉우미아파트),광주광역시 북구 용봉동 1263,북구 용봉동,35.1789984160713,126.901351143708
1238,북구,4386,성산맨션(도로교통공단 대신파크),광주광역시 북구 용봉동 110-3,북구 용봉동,35.1804049749331,126.912110318012
1239,북구,4387,신안교입구(유창아파트),광주광역시 북구 용봉동 1114-34,북구 용봉동,35.1743443863677,126.895900653721
1240,북구,4388,신안교입구(전대사대부중후문),광주광역시 북구 신안동 287-5,북구 신안동,35.1748263087595,126.895862056506
1241,북구,4389,용봉한화꿈에그린(삼원맨션),광주광역시 북구 용봉동 1210-2,북구 용봉동,35.1814477881908,126.904191753191
1242,북구,4390,용봉한화꿈에그린(도로교통공단 대신파크),광주광역시 북구 용봉동 1261,북구 용봉동,35.181798217198,126.904396862365
1243,북구,4391,용봉모아아파트(용봉동성당),광주광역시 북구 용봉동 1450,북구 용봉동,35.1767937405238,126.89611895718
1244,북구,4392,용봉모아아파트(유창허니문),광주광역시 북구 용봉동 1398-1,북구 용봉동,35.1778933657399,126.895038847394
1245,북구,4393,용봉우미아파트(삼원맨션),광주광역시 북구 용봉동 1265,북구 용봉동,35.1793688674764,126.901233118251
1246,북구,4394,용봉우미아파트(유창허니문),광주광역시 북구 용봉동 1250-6,북구 용봉동,35.177860679896,126.900525755719
1247,북구,4395,용봉현대1차아파트(중앙여고),광주광역시 북구 용봉동 산 161-11,북구 용봉동,35.1773568342791,126.889023233335
1248,북구,4396,용봉현대1차아파트(비엔날레전시관입구),광주광역시 북구 용봉동 산 161-11,북구 용봉동,35.1773568342791,126.889023233335
1249,북구,4397,용봉현대3차아파트(비엔날레전시관),광주광역시 북구 용봉동 1444,북구 용봉동,35.1807938440499,126.895460426547
1250,북구,4398,용봉현대3차아파트(용봉동성당),광주광역시 북구 용봉동 1354-1,북구 용봉동,35.1817791469195,126.895287239262
1251,북구,4399,용주초교(용봉모아아파트),광주광역시 북구 용봉동 1429,북구 용봉동,35.180134297341,126.89807567421
1252,북구,4400,용주초교(오치초교),광주광역시 북구 용봉동 1429,북구 용봉동,35.180134297341,126.89807567421
1253,북구,4401,유창아파트(용주초교),광주광역시 북구 용봉동 1429,북구 용봉동,35.180134297341,126.89807567421
1254,북구,4402,유창아파트(신안교입구),광주광역시 북구 용봉동 1429,북구 용봉동,35.180134297341,126.89807567421
1255,북구,4403,유창허니문(용봉우미아파트),광주광역시 북구 용봉동 1257-1,북구 용봉동,35.1772751581431,126.898892167396
1256,북구,4404,유창허니문(유창허니문입구),광주광역시 북구 용봉동 1266,북구 용봉동,35.1790257569553,126.899849720988
1257,북구,4405,유창허니문입구(용주초교),광주광역시 북구 용봉동 1264,북구 용봉동,35.1802726876777,126.898328444897
1258,북구,4406,전남대스포츠센터(효동초교입구),광주광역시 북구 용봉동 162,북구 용봉동,35.1766017985169,126.912369209964
1259,북구,4407,전남대스포츠센터(전남대후문위),광주광역시 북구 용봉동 162,북구 용봉동,35.1766017985169,126.912369209964
1260,북구,4408,전남대동문(북구보건소),광주광역시 북구 용봉동 300,북구 용봉동,35.1769439896768,126.904545369762
1261,북구,4409,전남대동문(전남대후문위),광주광역시 북구 용봉동 162,북구 용봉동,35.1766017985169,126.912369209964
1262,북구,4410,전남대공과대학(성산맨션),광주광역시 북구 용봉동 162,북구 용봉동,35.1766017985169,126.912369209964
1263,북구,4411,전남대공과대학(전남대후문(북)),광주광역시 북구 용봉동 300,북구 용봉동,35.1769439896768,126.904545369762
1264,북구,4412,전대치과병원(전대친환경농업연구소),광주광역시 북구 신안동 484,북구 신안동,35.1723845625867,126.904885728873
